name,type,details,status,asn,rank
Selectel Ltd,cloud,,unsafe,49505,1645
ST-BGP,cloud,,unsafe,46844,1649
Selectel MSK,cloud,,unsafe,50340,1656
Ensite Telecom,transit,signed + filtering,safe,28263,1670
Netwerkvereniging ColoClue,ISP,signed + filtering,safe,8283,1672
Continent 8 LLC,cloud,,unsafe,14537,1674
SpaceNet,ISP,signed + filtering,safe,5539,1754
Google,cloud,signed,partially safe,15169,1910
Deutsche Glasfaser,ISP,,unsafe,60294,1925
A1 Belarus,ISP,,unsafe,42772,1931
Cybernet Pakistan,ISP,,unsafe,9541,1938
WOBCOM,ISP,signed + filtering,safe,9136,1969
UltraWave Telecom,ISP,signed + filtering,safe,262659,1971
A3 Sverige,ISP,,unsafe,45011,2034
Telefonica Peru,ISP,,unsafe,6147,2156
SkyCable,ISP,,unsafe,23944,2185
CSL IDC,cloud,,unsafe,9891,2216
TheGigabit,cloud,,unsafe,55720,2357
Dhiraagu,ISP,signed + filtering,safe,7642,2379
Microsoft,cloud,signed,partially safe,8075,2465
MEO Portugal,ISP,,unsafe,3243,2477
xs4all,cloud,signed + filtering,safe,3265,2483
MTS Belarus,ISP,,unsafe,25106,2516
Locaweb,cloud,,unsafe,27715,2714
HostDime.com Inc,cloud,,safe,33182,2726
Intergrid,cloud,,unsafe,133480,2754
Networx Bulgaria,ISP,,unsafe,34569,2790
APIK Media,cloud,signed + filtering,safe,58820,2971
O2 Broadband,ISP,,unsafe,35228,3006
Ovnicom,cloud,,unsafe,27796,3069
INTERSPACE-MK,cloud,,unsafe,200899,3119
LeapSwitch Networks,cloud,filtering,partially safe,132335,3134
Free SAS,ISP,signed,unsafe,12322,3313
OVH,cloud,,unsafe,16276,3315
Atria Convergence,ISP,signed + filtering,safe,24309,3322
Triolan,ISP,filtering,partially safe,13188,3343
tzulo,cloud,,unsafe,11878,3372
K-NET,ISP,,unsafe,24904,3445
Amazon,cloud,signed + filtering,safe,16509,3714
Digi,ISP,,unsafe,20845,3744
Oy Creanova Hosting Solutions Ltd,cloud,,unsafe,51765,3915
ARTNET,cloud,,unsafe,197155,3928
Tech Futures,ISP,signed + filtering,safe,394256,4159
ArgonHost,cloud,,unsafe,58477,4221
Optus Microplex,ISP,,unsafe,4804,4299
HEAnet,ISP,signed + filtering,safe,1213,4310
Get (Telia Norway),ISP,signed + filtering,safe,41164,4319
EOLO,ISP,signed + filtering,safe,35612,4338
KPN,transit,signed + filtering,safe,286,4383
Alands Telekommunikation Ab,ISP,,unsafe,3238,4471
Amanah,cloud,,unsafe,32489,4522
ALMOUROLTEC SERVICOS DE INFORMATICA E INTERNET LDA,cloud,,unsafe,24768,4612
trabia network,cloud,signed,unsafe,43289,4650
T-Mobile,ISP,,unsafe,21928,5179
Vodafone UK,ISP,,unsafe,5378,5199
ACT Fibernet,ISP,signed + filtering,safe,18209,5200
MEO Portugal - Serviços de Comunicações e Multimédia,ISP,,unsafe,42863,5235
B2 Net Solutions,cloud,,unsafe,55286,5241
Kingston Communications PLC,ISP,,unsafe,12390,5260
WestHost,cloud,,unsafe,29854,5269
SKY Brasil,ISP,,unsafe,11338,5356
Kaisanet Oy,ISP,,unsafe,13170,5405
TL Group,cloud,,safe,263812,5408
eSecureData,cloud,signed,unsafe,11831,5500
Monkeybrains,ISP,,unsafe,32329,5517
FishNet,cloud,,unsafe,43317,5632
BroadbandGibraltarLtd.,ISP,,unsafe,34803,5638
AltusHost,cloud,,unsafe,51430,5671
GTHost,cloud,filtering,partially safe,63023,5803
VoiceHost,ISP,signed + filtering,safe,31472,5866
Cloud9,cloud,,unsafe,57814,6310
Stellar Technologies,cloud,signed + filtering,safe,14525,6435
ProveNET,ISP,,unsafe,263945,6597
Claro Brasil,ISP,,unsafe,28573,6806
DigitalOcean,cloud,filtering peers only,partially safe,14061,6820
ComHemAB,ISP,started,unsafe,39651,6856
Sprint Personal Communications Systems,transit,,unsafe,10507,6871
Vodafone India,ISP,,unsafe,38266,6883
Three UK,ISP,,unsafe,206067,6895
DELTA Fiber,ISP,,unsafe,15435,6903
Turksat,ISP,,unsafe,47524,6908
Galaxy Broadband,ISP,started,unsafe,139879,6918
EBOX,ISP,signed + filtering,safe,1403,6956
Netflix,cloud,signed + filtering,safe,2906,7004
Numericable,ISP,,unsafe,21502,7072
Aura Fiber,ISP,,safe,204274,7217
H4Y,cloud,signed,unsafe,397373,7389
Mobilink,ISP,,unsafe,45669,7420
Phase Layer Global Networks,cloud,,unsafe,51852,7448
komro GmbH,ISP,signed + filtering,safe,29413,7495
Stadtnetz Bamberg,ISP,,unsafe,198570,7697
Informacines sistemos ir technologijos UAB,cloud,,unsafe,61272,7896
Axcelx,cloud,,unsafe,33083,8010
Gigabit DK,ISP,signed + filtering,safe,60876,8187
Iver Norge AS,ISP,,safe,49409,8193
Clearfly Communications,ISP,signed + filtering,safe,27400,8451
Wikimedia Foundation,cloud,signed + filtering,safe,14907,9218
DK Hostmaster,cloud,signed + filtering,safe,39839,9228
UNITI-ITS,ISP,,unsafe,62632,10327
EE,ISP,filtering,partially safe,12576,11093
Plusnet,ISP,filtering,partially safe,6871,11121
TurkCell,ISP,,unsafe,16135,11135
Free Mobile,ISP,signed,unsafe,51207,11148
T-Mobile Thuis,ISP,signed,unsafe,50266,11150
Hi3G,ISP,signed,unsafe,44034,11153
T-Mobile Netherlands,ISP,,unsafe,31615,11154
TOPNET,ISP,,unsafe,37705,11163
Leaseweb USA-LAX-11,cloud,,unsafe,395954,11189
Webpass,ISP,,unsafe,19165,11211
Scaleway,cloud,signed + filtering,safe,12876,11221
Afrihost,ISP,,unsafe,37611,11230
Taiwan Mobile,ISP,signed,unsafe,24158,11259
Globe Telecom,ISP,,unsafe,132199,11305
University of North Carolina at Chapel Hill,ISP,,unsafe,36850,11416
Leaseweb USA-SFO-12,cloud,,unsafe,7203,11473
Smart Communications,ISP,,unsafe,10139,11481
Leaseweb USA-SEA-10,cloud,,unsafe,396190,11752
Leaseweb USA-WDC-01,cloud,,unsafe,30633,11755
Millenicom,ISP,,unsafe,34296,11801
NetCup,cloud,,unsafe,197540,11820
Packetexchange,cloud,,unsafe,58065,11915
Wave G, ISP,,unsafe,54858,11987
NOS MADEIRA COMUNICACOES,ISP,,unsafe,15457,12106
Chilean Government Network (Red de Conectividad del Estado),ISP,signed + filtering,safe,17147,12726
Istanbuldc Veri Merkezi,cloud,,unsafe,197328,13272
Leaseweb USA-NYC-11,cloud,,unsafe,396362,13289
Pakistan Telecom Company Limited,ISP,,unsafe,45595,13554
Leaseweb USA-PHX-11,cloud,,unsafe,19148,13604
A1 Hrvatska,ISP,,unsafe,29485,13671
Leaseweb USA-DAL-10,cloud,,unsafe,394380,13924
PROMAX,ISP,,safe,31423,13951
Silknet,ISP,signed,unsafe,15491,13994
NOS ACORES COMUNICACOES,ISP,signed,unsafe,42580,13994
Datapark,ISP,,safe,21040,14094
CBN Broadband,ISP,started,unsafe,135478,14149
Coextro,ISP,,unsafe,36445,14193
ThorDC,cloud,,unsafe,50613,14642
KemiNet,cloud,,unsafe,197706,14895
ASERGO,cloud,signed + filtering,safe,30736,14938
EHOSTIDC,cloud,,unsafe,45382,15162
Leaseweb USA-MIA-11,cloud,,unsafe,393886,15198
UNMETERED,cloud,,unsafe,54133,15374
Aktsiaselts WaveCom,cloud,,unsafe,34702,15816
Database By Design LLC,cloud,,unsafe,17090,15960
Siamdata Communication,cloud,,unsafe,56309,16001
Lanet Network,ISP,,unsafe,47800,16061
Web World Ireland,cloud,,unsafe,30900,16099
volumedrive,cloud,filtering,partially safe,46664,16124
ELSERVER S.R.L,cloud,,unsafe,52270,16498
ByteDance,cloud,signed,unsafe,396986,16669
Kviknet DK,ISP,signed + filtering,safe,204151,16924
Redder,ISP,signed + filtering,safe,33986,17627
MadeIT,cloud,filtering,partially safe,54455,17735
Freethought Internet Limited,cloud,signed + filtering,safe,41000,18109
Inter Connects Inc,cloud,,safe,46805,18756
ENAHOST s.r.o.,cloud,,unsafe,201924,18782
Silknet,ISP,signed,unsafe,42082,19348
Serverfield,cloud,,unsafe,134094,19510
FlokiNET,cloud,,unsafe,200651,19973
Green Mini host,cloud,signed + filtering,safe,205668,20191
Avative Fiber,ISP,,unsafe,394752,20706
Globalhost d.o.o.,cloud,,unsafe,200698,20706
Dynamic Hosting,cloud,,unsafe,36077,25465
HQserv,cloud,,unsafe,42994,25582
Nutrien,ISP,signed + filtering,safe,393891,28067
Pacswitch,ISP,filtering,partially safe,55536,28509
Powerhosting,Cloud,signed + filtering,safe,60422,30463
AnacondaWeb,ISP,signed + filtering,safe,265656,33269
Gis Telecom,ISP,signed + filtering,safe,264130,38447
Asimia Damaskou,cloud,,unsafe,205053,38447
NUT HOST SRL,cloud,,unsafe,264649,38447
SIA Bighost.lv,cloud,,unsafe,200709,46080
Inferno Communications,transit,signed + filtering,safe,207841,51968
Estoxy,cloud,,unsafe,208673,63535
NETSTYLE A. LTD,cloud,,unsafe,43945,63535
andrewnet,ISP,signed + filtering,safe,211562,63535
WhiteHat,ISP,signed + filtering,safe,51999,73114
nobistech,cloud,,unsafe,15003,73296
Neptune Networks,cloud,signed + filtering,safe,397143,73745
